time	searchRound	searchTerm	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-30T15:22:19Z	11	Fehlende	Beratungsangebote 		0	NA	NA	Fehlende Infos/Beratung	1	-3	NA		0	NA	NA		0	NA	NA
2022-05-30T15:22:55Z	12	Berufsaussichten|keine Ausbild|vielfahlt	Berufsaussichten		0	NA	NA	Unklare Berufsaussichten // vielfahlt in arbeitsbereichen // keine Ausbildungsalternative	3	-2.67	0.58		0	NA	NA		0	NA	NA
2022-05-30T15:23:44Z	13	auswendig|Auswendig	Auswendiglernen		0	NA	NA	viel Auswendig lernen // wörtliches Auswendiglernen // Auswendiglernen_negative // Auswendiglernprüfungen	6	-2.5	0.55		0	NA	NA		0	NA	NA
2022-05-30T15:23:59Z	14	Bulimie|alles wieder vergessen	Bulimielernen		0	NA	NA	Bulimielernen // alles wieder vergessen	3	-2.67	0.58		0	NA	NA		0	NA	NA
2022-05-30T15:24:37Z	15	unpersönlich|Distanziert|größere Dis|wenig Inter	Distanz		0	NA	NA	Distanziert (Online-Lehre) // wenig Interaktion // größere Distanz // unpersönlich/distanziert	4	-1.75	0.96		0	NA	NA		0	NA	NA
2022-05-30T15:26:28Z	16	Dozenten|machen ihr Ding|Studierendenbild|Dozierende|Dozenten II|Besprechung mit|unmotivierte Profs|dominant|Dozent	Dozent*innen		0	NA	NA	"Dozent*innen_negative // Studierendenbild // Besprechung mit Dozenten // dominant-""allwissend"" // unmotivierte Profs // machen ihr Ding"	8	-2.25	0.89		0	NA	NA		0	NA	NA
2022-05-30T15:27:08Z	17	Druck|Zeitdruck	Druck		0	NA	NA	Druck_negative // Zeitdruck // Genereller Druck	3	-2.33	0.58		0	NA	NA		0	NA	NA
2022-05-30T15:28:50Z	18	Druck der|Druck von	Druck von Dozierenden		0	NA	NA	Druck der Lehrenden // Druck von Profs	2	-1	0		0	NA	NA		0	NA	NA
2022-05-30T15:33:34Z	19	durch Elternhaus	Leistungsdruck		0	NA	NA	durch Elternhaus	1	-1	NA		0	NA	NA		0	NA	NA
2022-05-30T15:34:51Z	20	aufwandsarme|fehlende Mühe	Engagement von Dozierenden		0	NA	NA	fehlende Mühe // aufwandsarme Gestaltung	2	-2	0		0	NA	NA		0	NA	NA
2022-05-30T15:37:34Z	21	Erreichbarkeit|keinen Zugang|wenig direkten|wenig Telefon|teilweise scher|Sprechzeiten|Verfügbarkeit der|autoritätengehörigkeit	Erreichbarkeit		0	NA	NA	Erreichbarkeit // wenig direkten Lehrpersonenkon // Sprechzeiten/ Erreichbarkeit // Verfügbarkeit der Lehrpersonen // keinen Zugang // autoritätengehörigkeit // wenig Telefonsprechzeiten // schlechte Erreichbarkeit // teilweise scher erreichbar	9	-1.78	0.97		0	NA	NA		0	NA	NA
2022-05-30T15:38:37Z	22	Pflichtempfinden|extrin	extrinsische Motivation		0	NA	NA	extrinsische Motivation_negative // Pflichtempfinden	3	-2.67	0.58		0	NA	NA		0	NA	NA
2022-05-30T15:39:56Z	23	Folien|Unübersichtliche|Floien|Foliensätze|hohe Folienanzahl|viele Folien|englische	Folien		0	NA	NA	Folien_negative // englische Foliensätze // hohe Folienanzahl	6	-1.33	0.52		0	NA	NA		0	NA	NA
2022-05-30T15:40:19Z	24	Fragen|miss	Fragen		0	NA	NA	Fragen_negative // missverstehen Fragen	2	-2	0		0	NA	NA		0	NA	NA
2022-05-30T15:41:10Z	25	Freizeit|wenig Sport|Work	Freizeit		0	NA	NA	wenig Freizeit // Freizeitverlust // Work-Life-Balance // wenig Sport	5	-2	1		0	NA	NA		0	NA	NA
2022-05-30T15:42:52Z	26	kein Denken|wenig gestalt|Wahlmögli|wenig indi|Bestimmungen|Einschränkungen|Praktikumsplätze|Fremdbestimmtheit	Fremdbestimmtheit		0	NA	NA	Fremdbestimmtheit_negative // kein Denken // wenig gestalterische Spielraum // Wahlmöglichkeiten im Studium // wenig individuell gestaltbar // Bestimmungen // Einschränkungen	7	-2.43	0.79		0	NA	NA		0	NA	NA
2022-05-30T15:44:18Z	27	rückmeldung|Langsame An|Korrekturdauer|manchmal keine|Feedback	gegenseitiges Feedback		0	NA	NA	rückmeldung nach klausur // Langsame Antwort // Korrekturdauer zu lang // manchmal keine Beantwortung // Feedback Vorlesungsqualität // Feedbackmöglichkeiten	6	-2.5	0.55		0	NA	NA		0	NA	NA
2022-05-30T15:44:28Z	28	Geld	Geld		0	NA	NA	Geld_negative // Geld verdienen	2	-2	1.41		0	NA	NA		0	NA	NA
2022-05-30T15:47:50Z	29	Hilfsbereitschaft|wenig entgegenkommen|Interesse für|Teilweise wenig|Hilfe zur|nicht hilfsbereit|wenig Unterstützung|Corona:	Hilfsbereitschaft		0	NA	NA	Hilfsbereitschaft_negative // wenig entgegenkommen // Interesse für Studierendenbela // Teilweise wenig Hilfestellunge // Hilfe zur Strukturierung	5	-2	0.71		0	NA	NA		0	NA	NA
2022-05-30T15:48:17Z	30	Institut	Institut		0	NA	NA	Institut nicht schön // Gebäude des Institutes	2	-1.5	0.71		0	NA	NA		0	NA	NA
