time	searchRound	searchTerm	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-30T17:54:56Z	16	Online-Lehre|onlinelehre|Onlinelehre|Onlineunterr|Umsetzung|Corona|Online Lehre|Online-|Digitale|Pandemie|wenig Prä|Digital|fast nur|Präsenz-Wille|Online Kurse|Homeoffice	Online-Lehre		0	NA	NA	"Online-Lehre_negative // Onlineunterricht // Umsetzung ONLINE // Corona / Onlinesituation // Online-Studium Inanspruchnahme // Pandemie - Onlinelehre // wenig Präsenzlehre // Digital! Digital! Digital! // fast nur Online // kein ""Präsenz-Wille"" // Online Kurse // Digitale Lehre"	21	-2	0.84		0	NA	NA		0	NA	NA
2022-05-30T17:55:39Z	17	online Seminare|Seminare	Online-Seminare		0	NA	NA	online Seminare // Seminare anders online	2	-1.5	0.71		0	NA	NA		0	NA	NA
2022-05-30T17:56:51Z	18	Schlechte Online|VL keine|online Vorlesung|Online-|Anstrengend	Online-Vorlesungen		0	NA	NA	Online-Vorlesungen_negative // Schlechte Onlinevorlesungen // VL keine Präsenz // Anstrengend	5	-2.2	0.84		0	NA	NA		0	NA	NA
2022-05-30T17:57:38Z	19	Organisation der Lehre|Organisations-|VP-Stunden	Organisation		0	NA	NA	Organisations- Schwierigkeiten // VP-Stunden-Zettel // Organisation der Lehre	3	-1	0		0	NA	NA		0	NA	NA
2022-05-30T18:00:33Z	20	Corona|Pandemie	Pandemiesituation		0	NA	NA	Pandemiesituation_negative // Corona Ungewissheit // Corona Situation // Transparenz bzgl. Corona // Umgang mit Pandemiesituation // Umgang mit Pandemiesituation_negative	16	-2.5	0.73		0	NA	NA		0	NA	NA
2022-05-30T18:01:19Z	21	Pandemiesituation|Kalt|kaum	Pandemiesituation		0	NA	NA	Pandemiesituation_negative // kaum Veränderung	17	-2.53	0.72		0	NA	NA		0	NA	NA
2022-05-30T18:05:41Z	22	Praktikums|Praktika|Praktikum	Praktikumssuche		0	NA	NA	Praktikumssuche_negative // Einschränkung Praktikaauswahl // Praktikumssuche schwer // Praktikum: alleine gelassen // Suche Praktikumsplatz // Praktikumsplatzsuche // wenig Praktikumsplätze	13	-2.31	0.75		0	NA	NA		0	NA	NA
2022-05-30T18:06:12Z	23	Präsenzlehre|Präsenz	Präsenzlehre		0	NA	NA	Präsenzlehre_negative // Uneinheitlichkeit Präsenz // Angst vor Präsenzlehre	3	-1.67	0.58		0	NA	NA		0	NA	NA
2022-05-30T18:06:50Z	24	praxis|therapieschulen|Praxis	Praxisarmut		0	NA	NA	Praxisarmut_negative // praxis semester schwierig // wenig praxisorientiert // therapieschulenvielfalt	4	-2.75	0.5		0	NA	NA		0	NA	NA
2022-05-30T18:07:46Z	25	Probleme Prü|Prüfungsa	Prüfungsamt		0	NA	NA	Probleme Prüfungsamt // Prüfungsam/ Studienorganisatio	2	-1	0		0	NA	NA		0	NA	NA
2022-05-30T18:09:19Z	26	Reform des|Reform|neues System|Wahl der Fäch|Alter Master|anderer Studienver|polyvalente	Reform des Studiengangs		0	NA	NA	Reform des Studiengangs // Wahl der Fächer // Therapieausbildung Reform // Umstellung neues System // Umstellung polyvalenteBachelor // anderer Studienverlauf/Anforde // Alter Master	8	-1.62	0.92		0	NA	NA		0	NA	NA
2022-05-30T18:12:25Z	27	schlechte Komm|fehlende Komm|Komm|wenig Tra|bzgl. Corona|erschwerte|mangel|wenig aufeinander|Infoveranstal|Kommunikationsverhalten|wenig Info|wenige Info|zu viele Emails|Anfang generelle|Hausarbeiten|Mangelnde Kom|mangelnde Ko	schlechte Kommunikation		0	NA	NA	schlechte Kommunikation_negative // Kommunikation // wenig Transparenz // Kommunikation bzgl. Corona // zu viele Emails // wenige Infos // wenig aufeinander eingehen // zu wenig Infoveranstaltungen // fehlende Kommunikation // erschwerte Kommunikation // Kommunikationsverhalten Instit // Anfang generelle Informationen // Hausarbeiten // Informationsmangel	17	-2.35	0.79		0	NA	NA		0	NA	NA
2022-05-30T18:13:44Z	28	Seminare|Seminar|immer von|Seminarkon	Seminare		0	NA	NA	Seminare_negative // immer von Studierenden // Seminarkonzept	4	-1.5	1		0	NA	NA		0	NA	NA
2022-05-30T18:14:56Z	29	Sozialer Vergleich|Vergleich|vergleich	sozialer Vergleich		0	NA	NA	sozialer Vergleich_negative // Vergleiche durch Notenspiegel	10	-1.6	0.84		0	NA	NA		0	NA	NA
2022-05-30T18:17:06Z	30	Stress	Stress		0	NA	NA	Stress_negative // führt zu Stress // externer Stress // Stressgefühl bei Studierenden // Stressfaktor // Anforderungen/FähigkeitStress	16	-2.12	0.96		0	NA	NA		0	NA	NA
2022-05-30T18:18:38Z	31	Reform des|neuer Master	Reform des Studiengangs		0	NA	NA	Reform des Studiengangs_negative // neuer Master/ Bachelor	9	-1.56	0.88		0	NA	NA		0	NA	NA
2022-05-30T18:21:27Z	32	Studiumsinhalt|Inhalt|Lernstoff|repetitive|Sehr viel|Thematische Wie|zu viele Themen|aktualität der|Inhalt|uninteressante|Replizier	Studiumsinhalt		0	NA	NA	Studiumsinhalt_negative // Inhalt oberflächlich // Thematische Wiederholungen // zu viele Themen // Replizierbarkeitskrise // aktualität der themen // Sehr viel Theorie // repetitive Inhalte	10	-1.8	0.63		0	NA	NA		0	NA	NA
2022-05-30T18:22:17Z	33	Termine|Fristen|Abgabe	Termine für Abgaben		0	NA	NA	Termine für Abgaben_negative // Abgabetermine // Termine für Abgaben	4	-1.25	0.5		0	NA	NA		0	NA	NA
2022-05-30T18:23:07Z	34	Themenrelevanz|Relevanz|alltagsbezug|viel Irre|Wenig aktue|Trennung	Themenrelevanz		0	NA	NA	Trennung: wesentlich/unwesentl // Relevanz oft undurchsichtig // viel Irrelevantes // alltagsbezug // Wenig aktueller Bezug	5	-2.6	0.55		0	NA	NA		0	NA	NA
2022-05-30T18:24:27Z	35	Überforderung|überforde|Literaturü|Überladung	Überforderung		0	NA	NA	Überforderung_negative // Literaturüberforderung // Überladung an Informationen // Gefühle der Überforderung	6	-1.83	0.75		0	NA	NA		0	NA	NA
2022-05-30T18:25:13Z	36	Übungsarmut|Wenig/|Kaum	Übungsarmut		0	NA	NA	Wenig/keine Übungen // Kaum    Übungsaufgaben	2	-2.5	0.71		0	NA	NA		0	NA	NA
2022-05-30T18:28:20Z	37	Unsicherheit|Verunsicherung|Studium|keine klaren|Gegenseitige Ver|Nicht gut genug|Angst und|Orientierungsprobleme|Zweifel an|viele Unklar	Unsicherheit		0	NA	NA	Unsicherheit_negative // Verunsicherung // Unsicherheit // keine klaren Lernziele // Gegenseitige Verunsicherung // Nicht gut genug // Angst und Ungewissheit // Orientierungsprobleme // Zweifel an Studienwahl // viele Unklarheiten	11	-2.09	0.83		0	NA	NA		0	NA	NA
2022-05-30T18:29:29Z	38	Wenig Soziales|Weniger|Freunde|lose	Vernetzung		0	NA	NA	Freundefinden schwierig // lose Kontakte // Weniger persönlichen Kontakt // Wenig Soziales	4	-2	0.82		0	NA	NA		0	NA	NA
2022-05-30T18:30:00Z	39	Angst	Versagensangst		0	NA	NA	Angst bzgl. Zielerreichung	1	-3	NA		0	NA	NA		0	NA	NA
2022-05-30T18:31:10Z	40	Vorlesungen|zu schnell	Vorlesungen		0	NA	NA	Vorlesungen_negative // Durchgepeitschte Vorlesungen	6	-1.67	0.52		0	NA	NA		0	NA	NA
2022-05-30T18:32:08Z	41	Webseiten|Website	Website		0	NA	NA	Website_negative // Website Fakultät Psychologie // chaotische Website	4	-1.75	0.5		0	NA	NA		0	NA	NA
2022-05-30T18:32:45Z	42	Wissenschaft	Wissenschaftlichkeit		0	NA	NA	Wissenschaft // Bezug zur Wissenschaftswelt	2	-2	1.41		0	NA	NA		0	NA	NA
2022-05-30T18:33:15Z	43	Wenig Zeit|Zeitmangel|Zeit	Zeitmangel		0	NA	NA	Zeitmangel // Zeitmangel_negative	8	-2.38	0.52		0	NA	NA		0	NA	NA
2022-05-30T18:34:05Z	44	Zukunftsangst|Zukunfts|weniger	Zukunftsangst		0	NA	NA	Zukunftsangst_negative // Versagens- und Zukunftsangst // weniger Begeisterung // Zukunftssorgen	9	-2.56	0.53		0	NA	NA		0	NA	NA
