time	searchRound	searchTerm	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-06-01T10:55:16Z	23	berufliche Zukunft	Berufsaussichten		0	NA	NA		0	NA	NA	berufliche Zukunft	1	0	NA		0	NA	NA
2022-06-01T10:57:02Z	24	Gestaltungsfrei	Gestaltungsfreiheit		0	NA	NA		0	NA	NA	Gestaltungsfreiheit	1	0	NA		0	NA	NA
2022-06-01T10:57:53Z	25	Gruppenpro	Gruppenarbeit		0	NA	NA		0	NA	NA	Gruppenprojekte	1	0	NA		0	NA	NA
2022-06-01T10:59:39Z	26	Lehre	Lehre		0	NA	NA		0	NA	NA	Lehre	1	0	NA		0	NA	NA
2022-06-01T10:59:52Z	27	Leistungsbereit	Leistungsbereitschaft		0	NA	NA		0	NA	NA	Leistungsbereitschaft_neutral	2	0	0		0	NA	NA
2022-06-01T11:00:44Z	28	Leistungsdruck	Leistungsdruck		0	NA	NA		0	NA	NA	Leistungsdruck	1	0	NA		0	NA	NA
2022-06-01T11:00:56Z	29	Leistungsbere	Leistungsbereitschaft		0	NA	NA		0	NA	NA	Leistungsbereitschaft_neutral	2	0	0		0	NA	NA
2022-06-01T11:02:22Z	30	personell|Stress	Stress		0	NA	NA		0	NA	NA	personell	1	0	NA		0	NA	NA
2022-06-01T11:03:21Z	31	persönliche|Persönliche	persönliche Faktoren		0	NA	NA		0	NA	NA	persönliche Faktoren	1	0	NA		0	NA	NA
2022-06-01T11:04:42Z	32	Prüfungen|Klaus	Klausuren		0	NA	NA		0	NA	NA	Prüfungen	1	0	NA		0	NA	NA
2022-06-01T11:04:53Z	33	Klausurvorbe	Klausurvorbereitung		0	NA	NA		0	NA	NA	Klausurvorbereitung_neutral	1	0	NA		0	NA	NA
2022-06-01T11:05:24Z	34	Psychologische	Interesse am Studiengang		0	NA	NA		0	NA	NA	Psychologische Themen	1	0	NA		0	NA	NA
2022-06-01T11:06:44Z	35	Studentenmeinung	Mitspracherecht		0	NA	NA		0	NA	NA	Studentenmeinung	1	0	NA		0	NA	NA
2022-06-01T11:07:34Z	36	Prüfungsamt	Prüfungsamt		0	NA	NA		0	NA	NA	Prüfungsamt_neutral // vom Prüfungsamt	2	0	0		0	NA	NA
2022-06-01T11:08:09Z	37	Studienverlauf	Studienverlauf		0	NA	NA		0	NA	NA	Studienverlaufsplanung	1	0	NA		0	NA	NA
2022-06-01T11:09:12Z	38	technische	technische Ausstattung		0	NA	NA		0	NA	NA	technische Ausstattung	1	0	NA		0	NA	NA
2022-06-01T11:09:47Z	39	Transparenz|Kommunik	Kommunikation		0	NA	NA		0	NA	NA	Transparenz	1	0	NA		0	NA	NA
2022-06-01T11:10:21Z	40	Umgang mit	Umgang mit Pandemiesituation		0	NA	NA		0	NA	NA	Umgang mit Pandemiesituation_neutral // Umgang mit Pandemiesituation	2	0	0		0	NA	NA
2022-06-01T11:11:49Z	41	vonseiten der	Unterstützung		0	NA	NA		0	NA	NA	vonseiten der Uni	1	0	NA		0	NA	NA
2022-06-01T11:13:13Z	42	Zeit	Zeitressourcen		0	NA	NA		0	NA	NA	Zeitressourcen	1	0	NA		0	NA	NA
2022-06-01T11:14:14Z	43	Zusatzange	Zusatzangebote		0	NA	NA		0	NA	NA	Zusatzangebote	1	0	NA		0	NA	NA
2022-06-01T11:15:44Z	44	Ansprechpartner|Austausch	Austausch		0	NA	NA		0	NA	NA	Austausch_neutral // Ansprechpartner_neutral	2	0	0		0	NA	NA
2022-06-01T11:18:46Z	45	Präsenzlehre	Präsenzlehre		0	NA	NA		0	NA	NA	Präsenzlehre_neutral	1	0	NA		0	NA	NA
2022-06-01T11:23:31Z	46	Druck von	Druck von Dozent*innen		0	NA	NA	Druck von Dozierenden_negative	2	-1	0		0	NA	NA		0	NA	NA
2022-06-01T11:24:40Z	47	Dozierenden	Engagement von Dozent*innen		0	NA	NA	Engagement von Dozierenden_negative	2	-2	0		0	NA	NA		0	NA	NA
