time	searchRound	searchTerm	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-28T08:51:07Z	16	Sitzordnung	Atmosphäre	Sitzordnung	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:51:26Z	17	Stimmung entspannt	Atmosphäre	Stimmung entspannt	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:51:55Z	18	Stimmung 	Atmosphäre	Stimmung unter Studierenden	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:52:12Z	19	Austausch in Seminaren	Austausch	Austausch in Seminaren	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:53:38Z	20	Austausch	Austausch	intensiver Austausch // fachlicher Austausch	2	2	0	wenig induzierter Austausch // Austausch schwierig	2	-2	0	Austausch_neutral	1	0	NA		0	NA	NA
2022-05-28T08:54:14Z	21	Kontakte/ 	Austausch	Kontakte/ Diskussion	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:54:33Z	22	Gegenseitigkeit	Austausch	Gegenseitigkeit	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:54:57Z	23	Beispielaufgaben	Beispielklausur	Beispielaufgaben der Klausur	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T08:55:24Z	24	Beispielklausurmaterial	Beispielklausur	Beispielklausurmaterial	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:02:34Z	25	Probeklausur	Beispielklausur	Probeklausur	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:03:42Z	26	Beratung	Beratungsangebote	Beratungsamgebote der Uni // Psychotherapeutische Beratung // Beratung auf Nachfrage // finanzielle Beratung	4	1.5	1	Fehlende Infos/Beratung	1	-3	NA	Beratungsangebote	1	0	NA		0	NA	NA
2022-05-28T09:04:03Z	27	Studienberatung	Beratungsangebote	Studienberatung	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:06:31Z	28	Rückhalt	Beratungsangebote	Rückhalt	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:10:14Z	29	Beruf	Berufsaussichten	Berufswunsch	1	1	NA	Unklare Berufsaussichten	1	-2	NA		0	NA	NA	Berufsaussichten_ambivalent	1	10	NA
2022-05-28T09:12:44Z	30	Jobmöglichkeiten	Berufsaussichten	Jobmöglichkeiten gut	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:13:32Z	31	viele Möglichkeiten	Berufsaussichten	viele Möglichkeiten	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:14:11Z	32	guter Abschluss	Berufsaussichten	guter Abschluss	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:15:22Z	33	Psychotherapie	Berufsaussichten	Psychotherapie	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:16:06Z	34	Bib	Bibliothek	Uni-Bibliothek/Online-PDF	1	2	NA		0	NA	NA	Bibliothek_neutral	1	0	NA		0	NA	NA
2022-05-28T09:16:32Z	35	Öffnungszeiten	Bibliothek	Öffnungszeiten	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:16:54Z	36	Support Rechenzentrum	Digitale Plattformen	Support Rechenzentrum	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:17:31Z	37	Studienstart-App	Digitale Plattformen	Studienstart-App	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:17:52Z	38	Uni Seite	Digitale Plattformen	Uni Seite	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:18:51Z	39	Dozent:innen	Dozent*innen	Nette Dozent:innen	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:20:03Z	40	Freundliche Profs	Dozent*innen	Freundliche Profs	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:20:37Z	41	seminarbetreuung	Dozent*innen	seminarbetreuung	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:21:05Z	42	gute Dozenten	Dozent*innen	gute Dozenten	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:21:47Z	43	Hilfsbereitschaft	Dozent*innen	Hilfsbereitschaft d. Dozenten	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:22:04Z	44	Sympathie d.	Dozent*innen	Sympathie der Professor*innen	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:22:22Z	45	sympathische	Dozent*innen	sympathische Lehrpersonen	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:22:36Z	46	junge 	Dozent*innen	junge Dozierende	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:22:51Z	47	kompetente	Dozent*innen	kompetente Dozenten	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:23:12Z	48	Sehr nette	Dozent*innen	Sehr nette Professor*innen	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:23:22Z	49	von Lehrenden	Dozent*innen	von Lehrenden	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:23:35Z	50	Dozenten Anspre	Dozent*innen	Dozenten Ansprechpartner	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:23:51Z	51	Verständnis d.	Dozent*innen	Verständnis d. Dozenten	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:24:05Z	52	Begeisterung	Dozent*innen	Begeisterung der Lehrenden	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:24:34Z	53	Seminarleitung	Dozent*innen	Seminarleitungen	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:24:49Z	54	verständnisvoll	Dozent*innen	verständnisvoll	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:25:03Z	55	beruhigen	Dozent*innen	Dozent*innen beruhigen eher	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:25:36Z	56	kompetent	Dozent*innen	DozentInnen kompetent // kompetent	2	2	0		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:27:07Z	57	hilfsbereit	Dozent*innen	unterstützend und hilfsbereit	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:28:03Z	58	allgemein:	Dozent*innen	allgemein: Wohlwollen	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-28T09:28:33Z	59	Einteil	Dozent*innen	Individuelle zeitliche Einteil	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
